Timestamp,Asset_ID,Origin_Latitude,Origin_Longitude,Destination_Latitude,Destination_Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Logistics_Delay,Weather_Condition,Road_Type,Fuel_Cost,Departure_Time,Estimated_Arrival_Time,Actual_Arrival_Time,Year,Month,First_Day_of_Month,First_Day_Weekday,Day_of_Month,WeekNumber,Week_Label
2024-01-01 11:37:00,Truck_4,37.0312478,126.955613,35.5408333,129.381896,303,Delivered,18.48576485,57.22862725,Smooth,9.99261394,213,6,No Delay,97.1,0,Partly Cloudy,Highway,1.935464634,2024-01-01 11:37:00,2024-01-01 16:36:57.341018400,2024-01-01 16:36:57.341018400,2024,1,2024-01-01 11:37:00,0,1,1,1월 1주
2024-01-01 17:34:00,Truck_10,37.0312478,126.955613,37.4378313,126.8880536,174,Delivered,17.62322156,44.78476788,Moderate,14.02766845,403,5,No Delay,83.5,0,Partly Cloudy,Urban,2.478855544,2024-01-01 17:34:00,2024-01-02 00:58:09.960642000,2024-01-02 00:58:09.960642000,2024,1,2024-01-01 11:37:00,0,1,1,1월 1주
2024-01-01 18:29:00,Truck_3,37.0312478,126.955613,35.6494541,128.4266993,179,Delivered,18.23611019,41.50729029,Moderate,9.437446396,427,9,No Delay,60.3,0,Partly Cloudy,Urban,1.611390949,2024-01-01 18:29:00,2024-01-01 22:25:37.480702560,2024-01-01 22:25:37.480702560,2024,1,2024-01-01 11:37:00,0,1,1,1월 1주
2024-01-02 07:22:00,Truck_2,37.0312478,126.955613,37.4378313,126.8880536,106,Delivered,15.93304839,64.92847513,Smooth,16.39876938,128,5,No Delay,88.0,0,Clear,Urban,1.470760978,2024-01-02 07:22:00,2024-01-02 13:00:23.556976800,2024-01-02 13:00:23.556976800,2024,1,2024-01-01 11:37:00,0,2,1,1월 1주
2024-01-02 15:30:00,Truck_4,37.0312478,126.955613,36.8895433,126.6455811,372,Delivered,19.55919602,47.49870839,Smooth,29.35962244,153,1,No Delay,78.2,0,Partly Cloudy,Highway,1.707384211,2024-01-02 15:30:00,2024-01-02 22:26:09.464078400,2024-01-02 22:26:09.464078400,2024,1,2024-01-01 11:37:00,0,2,1,1월 1주
2024-01-02 22:19:00,Truck_7,37.0312478,126.955613,35.6494541,128.4266993,341,Delivered,28.1846835,50.11619727,Smooth,1.042198423,429,3,No Delay,78.6,0,Clear,Highway,1.79631665,2024-01-02 22:19:00,2024-01-03 03:25:15.191432280,2024-01-03 03:25:15.191432280,2024,1,2024-01-01 11:37:00,0,2,1,1월 1주
2024-01-03 11:20:00,Truck_7,37.0312478,126.955613,37.0907725,126.9191283,237,Delivered,19.44839868,42.52382987,Moderate,23.14766593,251,3,No Delay,76.3,0,Partly Cloudy,Urban,1.827742094,2024-01-03 11:20:00,2024-01-03 16:38:53.159734800,2024-01-03 16:38:53.159734800,2024,1,2024-01-01 11:37:00,0,3,1,1월 1주
2024-01-03 12:49:00,Truck_10,37.0312478,126.955613,35.6494541,128.4266993,308,Delivered,22.40721061,63.7778444,Smooth,10.05987022,475,8,No Delay,95.0,0,Partly Cloudy,Urban,1.903564896,2024-01-03 12:49:00,2024-01-03 15:49:21.553279200,2024-01-03 15:49:21.553279200,2024,1,2024-01-01 11:37:00,0,3,1,1월 1주
2024-01-03 13:08:00,Truck_10,37.0312478,126.955613,37.0907725,126.9191283,191,Delivered,25.84060437,46.32379305,Smooth,6.113281026,268,8,No Delay,97.0,0,Partly Cloudy,Highway,1.797976171,2024-01-03 13:08:00,2024-01-03 17:44:40.781169360,2024-01-03 17:44:40.781169360,2024,1,2024-01-01 11:37:00,0,3,1,1월 1주
2024-01-04 03:12:00,Truck_4,37.0312478,126.955613,37.4378313,126.8880536,173,Delivered,29.33878243,58.73842144,Moderate,11.00979801,440,3,No Delay,73.4,0,Clear,Highway,1.306613964,2024-01-04 03:12:00,2024-01-04 08:18:03.527283600,2024-01-04 08:18:03.527283600,2024,1,2024-01-01 11:37:00,0,4,1,1월 1주
2024-01-04 19:58:00,Truck_4,37.0312478,126.955613,37.0907725,126.9191283,272,Delivered,17.08795052,45.02071097,Moderate,4.979616648,419,6,No Delay,63.1,0,Partly Cloudy,Urban,1.504681118,2024-01-04 19:58:00,2024-01-05 01:27:52.661993280,2024-01-05 01:27:52.661993280,2024,1,2024-01-01 11:37:00,0,4,1,1월 1주
